Nome,partido,estado,doador,valor_doacao,tipo_doacao
Aguinaldo Ribeiro,PP,PB,MRV Engenharia,"3,4349E+016",Indireta
Aguinaldo Ribeiro,PP,PB,MRV Engenharia,"3,4349E+016",Indireta
José Carlos Aleluia Costa,DEM,BA,Grafico Empreendimentos Ltda.,"6,365E+016",Direta
Alfredo Nascimento,PR,AM,Tiisa Infraestrutra e Investimentos,"5,796E+016",Indireta
Andre Fufuca,PP ,MA,Francisco Dantas Ribeiro Filho,0,Direta
Arlindo Chinaglia,PT,SP,Sucocitrico Cutrale,"1,6498E+017",Indireta
Arthur Maia,DEM,BA,Sinobras - Siderurgica Norte Brasil,"9,3391E+016",Direta
Atila Lira,PSB,PI,Celso De Sousa Mendes Filho,0,Direta
Baleia Rossi,MDB,SP,Sucocitrico Cutrale,"1,6498E+017",Indireta
Baleia Rossi,MDB,SP,Sucocitrico Cutrale,"1,6498E+017",Indireta
Baleia Rossi,MDB,SP,Sucocitrico Cutrale,"1,6498E+017",Indireta
Baleia Rossi,MDB,SP,Sucocitrico Cutrale,"1,6498E+017",Indireta
Baleia Rossi,MDB,SP,Sucocitrico Cutrale,"1,6498E+017",Indireta
Baleia Rossi,MDB,SP,Sucocitrico Cutrale,"1,6498E+017",Indireta
Baleia Rossi,MDB,SP,Sucocitrico Cutrale,"1,6498E+017",Indireta
Baleia Rossi,MDB,SP,Sucocitrico Cutrale,"1,6498E+017",Indireta
Baleia Rossi,MDB,SP,Sucocitrico Cutrale,"1,6498E+017",Indireta
Beto Salame,PP,PA,Sinobras - Siderurgica Norte Brasil,"9,3391E+016",Direta
Beto Salame,PP,PA,Sinobras - Siderurgica Norte Brasil,"9,3391E+016",Direta
Beto Salame,PP,PA,Sinobras - Siderurgica Norte Brasil,"9,3391E+016",Direta
Bilac Pinto,DEM,MG,MRV Engenharia,"3,4349E+016",Direta
Caetano,PT,BA,Grafico Empreendimentos,"6,365E+016",Direta
Caio Narcio,PSDB,MG,Sucocitrico Cutrale,"1,6498E+017",Direta
Daniel Almeida,PCdoB ,BA,Grafico Empreendimentos,"6,365E+016",Direta
Domingos Sávio,PSDB,MG,Construtora Centro Minas ,"3,9984E+017",Direta
Dr. Jorge Silva,SD,ES,Construtora Centro Minas ,"3,9984E+017",Indireta
